# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
1.842105,5.000000,0.000000,0.293291,-1.266483,0.000000,0.000000,0.000000,0.000000
2.368421,-5.000000,0.000000,0.162916,1.289751,0.000000,0.000000,0.000000,0.000000
2.368421,-4.473684,0.000000,0.181727,1.287235,0.000000,0.000000,0.000000,0.000000
2.368421,-3.947368,0.000000,0.205388,1.283673,0.000000,0.000000,0.000000,0.000000
2.368421,-3.421053,0.000000,0.236012,1.278397,0.000000,0.000000,0.000000,0.000000
2.368421,-2.894737,0.000000,0.277117,1.270120,0.000000,0.000000,0.000000,0.000000
2.368421,-2.368421,0.000000,0.334961,1.256105,0.000000,0.000000,0.000000,0.000000
2.368421,-1.842105,0.000000,0.421622,1.229730,0.000000,0.000000,0.000000,0.000000
2.368421,-1.315789,0.000000,0.562550,1.171980,0.000000,0.000000,0.000000,0.000000
2.368421,-0.789474,0.000000,0.812104,1.015129,0.000000,0.000000,0.000000,0.000000
